Country Code|Bank Code|Bank Name|Initials|SWIFT/BIC
BR|05351887|"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A|ZEMA CFI S/A|
BR|05442029|Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor|CASA CREDITO S.A. SCM|
BR|05463212|Cooperativa Central de Crédito - Ailos|COOP CENTRAL AILOS|
BR|05790149|Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP|CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO|
BR|06271464|Banco Bradesco BBI S.A.|BCO BBI S.A.|
BR|07207996|Banco Bradesco Financiamentos S.A.|BCO BRADESCO FINANC. S.A.|
BR|07237373|Banco do Nordeste do Brasil S.A.|BCO DO NORDESTE DO BRASIL S.A.|
BR|07450604|China Construction Bank (Brasil) Banco Múltiplo S/A|BCO CCB BRASIL S.A.|
BR|07512441|"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS|HS FINANCEIRA|
BR|07652226|"Lecca Crédito, Financiamento e Investimento S/A|LECCA CFI S.A.|
BR|07656500|Banco KDB do Brasil S.A.|BCO KDB BRASIL S.A.|
BR|07679404|BANCO TOPÁZIO S.A.|BANCO TOPÁZIO S.A.|
BR|07853842|COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO|CCR DE OURO|
BR|07945233|PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT|POLOCRED SCMEPP LTDA.|
BR|08240446|COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM|CCR DE IBIAM|
BR|08253539|Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel|CCR DE SÃO MIGUEL DO OESTE|
BR|08357240|Banco CSF S.A.|BCO CSF S.A.|
BR|08561701|Pagseguro Internet S.A.|PAGSEGURO|
BR|08609934|MONEYCORP BANCO DE CÂMBIO S.A.|MONEYCORP BCO DE CÂMBIO S.A.|
BR|08673569|F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.|F D GOLD DTVM LTDA|
BR|09089356|GERENCIANET S.A.|GERENCIANET|
BR|09105360|ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.|ICAP DO BRASIL CTVM LTDA.|
BR|09210106|SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P|SOCRED SA - SCMEPP|
BR|09274232|STATE STREET BRASIL S.A. ? BANCO COMERCIAL|STATE STREET BR S.A. BCO COMERCIAL|
BR|09313766|"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO|CARUANA SCFI|
BR|09464032|"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO|MIDWAY S.A. - SCFI|
BR|09512542|Codepe Corretora de Valores e Câmbio S.A.|CODEPE CVC S.A.|
BR|09516419|Banco Original do Agronegócio S.A.|BCO ORIGINAL DO AGRO S/A|
BR|09554480|Super Pagamentos e Administração de Meios Eletrônicos S.A.|SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.|
BR|10264663|BancoSeguro S.A.|BANCOSEGURO S.A.|
BR|10398952|CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E|CRESOL CONFEDERAÇÃO|
BR|10573521|MERCADOPAGO.COM REPRESENTACOES LTDA.|MERCADO PAGO|
BR|10664513|Banco Agibank S.A.|BCO AGIBANK S.A.|
BR|10690848|Banco da China Brasil S.A.|BCO DA CHINA BRASIL S.A.|
BR|10853017|Get Money Corretora de Câmbio S.A.|GET MONEY CC LTDA|
BR|10866788|Banco Bandepe S.A.|BCO BANDEPE S.A.|
BR|11165756|GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO|GLOBAL SCM LTDA|
BR|11476673|BANCO RANDON S.A.|BANCO RANDON S.A.|
BR|11495073|OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|OM DTVM LTDA|
BR|11581339|MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT|MONEY PLUS SCMEPP LTDA|
BR|11703662|Travelex Banco de Câmbio S.A.|TRAVELEX BANCO DE CÂMBIO S.A.|
BR|11758741|Banco Finaxis S.A.|BANCO FINAXIS|
BR|11970623|BANCO SENFF S.A.|BCO SENFF S.A.|
BR|12865507|"BRK S.A. Crédito, Financiamento e Investimento|BRK S.A. CFI|
BR|13009717|Banco do Estado de Sergipe S.A.|BCO DO EST. DE SE S.A.|
BR|13059145|BEXS BANCO DE CÂMBIO S/A|BEXS BCO DE CAMBIO S.A.|
BR|13140088|Acesso Soluções de Pagamento S.A.|ACESSO SOLUCOES PAGAMENTO SA|
BR|13220493|BR Partners Banco de Investimento S.A.|BR PARTNERS BI|
BR|13293225|Órama Distribuidora de Títulos e Valores Mobiliários S.A.|ÓRAMA DTVM S.A.|
BR|13370835|BPP Instituição de Pagamento S.A.|BPP IP S.A.|
BR|13486793|BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.|BRL TRUST DTVM SA|
BR|13673855|Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.|FRAM CAPITAL DTVM S.A.|
BR|13720915|Banco Western Union do Brasil S.A.|BCO WESTERN UNION|
BR|13884775|HUB PAGAMENTOS S.A|HUB PAGAMENTOS|
BR|14190547|CAMBIONET CORRETORA DE CÂMBIO LTDA.|CAMBIONET CC LTDA|
BR|14388334|PARANÁ BANCO S.A.|PARANA BCO S.A.|
BR|14511781|BARI COMPANHIA HIPOTECÁRIA|BARI CIA HIPOTECÁRIA|
BR|15114366|Banco Bocom BBM S.A.|BCO BOCOM BBM S.A.|
BR|15173776|BANCO CAPITAL S.A.|BCO CAPITAL S.A.|
BR|15357060|Banco Woori Bank do Brasil S.A.|BCO WOORI BANK DO BRASIL S.A.|
BR|15581638|Facta Financeira S.A. - Crédito Financiamento e Investimento|FACTA S.A. CFI|
BR|16501555|Stone Pagamentos S.A.|STONE PAGAMENTOS S.A.|
BR|16927221|AMAZÔNIA CORRETORA DE CÂMBIO LTDA.|AMAZÔNIA CC LTDA.|
BR|16944141|Broker Brasil Corretora de Câmbio Ltda.|BROKER BRASIL CC LTDA.|
BR|17184037|Banco Mercantil do Brasil S.A.|BCO MERCANTIL DO BRASIL S.A.|
BR|17298092|Banco Itaú BBA S.A.|BCO ITAÚ BBA S.A.|
BR|17351180|BANCO TRIANGULO S.A.|BCO TRIANGULO S.A.|
BR|17352220|SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A|SENSO CCVM S.A.|
BR|17453575|ICBC do Brasil Banco Múltiplo S.A.|ICBC DO BRASIL BM S.A.|
BR|17772370|Vip's Corretora de Câmbio Ltda.|VIPS CC LTDA.|
BR|17826860|BMS SOCIEDADE DE CRÉDITO DIRETO S.A.|BMS SCD S.A.|
BR|18188384|CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT|CREFAZ SCMEPP LTDA|
BR|18236120|Nu Pagamentos S.A.|NU PAGAMENTOS S.A.|
BR|18520834|UBS Brasil Banco de Investimento S.A.|UBS BRASIL BI S.A.|
BR|19307785|MS Bank S.A. Banco de Câmbio|MS BANK S.A. BCO DE CÂMBIO|
BR|20155248|PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|PARMETAL DTVM LTDA|
BR|21018182|BOLETOBANCÁRIO.COM TECNOLOGIA DE PAGAMENTOS LTDA.|JUNO|
BR|21332862|CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.|CARTOS SCD S.A.|
BR|22610500|VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.|VORTX DTVM LTDA.|
BR|22896431|PICPAY SERVICOS S.A.|PICPAY|
BR|23522214|Commerzbank Brasil S.A. - Banco Múltiplo|COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO|
BR|23862762|"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO|WILL FINANCEIRA S.A.CFI|
BR|24074692|GUITTA CORRETORA DE CAMBIO LTDA.|GUITTA CC LTDA|
BR|24537861|FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.|FFA SCMEPP LTDA.|
BR|26563270|COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE|CCR DE PRIMAVERA DO LESTE|
BR|27098060|Banco Digio S.A.|BANCO DIGIO|
BR|27214112|"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO|AL5 S.A. CFI|
BR|27351731|"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.|REALIZE CFI S.A.|
BR|27652684|Genial Investimentos Corretora de Valores Mobiliários S.A.|GENIAL INVESTIMENTOS CVM S.A.|
BR|27842177|"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.|IB CCTVM S.A.|
BR|28127603|BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO|BCO BANESTES S.A.|
BR|28195667|Banco ABC Brasil S.A.|BCO ABC BRASIL S.A.|
BR|28650236|BS2 Distribuidora de Títulos e Valores Mobiliários S.A.|BS2 DTVM S.A.|
BR|28719664|Sistema do Balcão B3|Balcão B3|
BR|29011780|Câmara Interbancária de Pagamentos - CIP C3|CIP C3|
